C_TERRITOIRE_ID;C_LBLTERRITOIRE;C_DEPARTEMENT_ID;C_LBLDEPARTEMENT;C_REGION_ID;C_LBLREGION;TX_ACCESM6;TX_PRESEMPM6;TX_ACCESM6_D;TX_PRESEMPM6_D;DELTA_TX_ACCESM6;DELTA_TX_PRESEMPM6;TERRITOIRE_PROCHE1;TERRITOIRE_PROCHE2;TERRITOIRE_PROCHE3;TERRITOIRE_PROCHE4;TERRITOIRE_PROCHE5;TERRITOIRE_PROCHE6;TERRITOIRE_PROCHE7;TERRITOIRE_PROCHE8;TERRITOIRE_PROCHE9;TERRITOIRE_PROCHE10
CLPE11002;LIMOUX;11;AUDE;76;OCCITANIE;0.1822757553;0.1167889106;0.1952820321;0.1257848443;-0.013006277;-0.008995934;CLPE58002;CLPE09002;CLPE09001;CLPE30003;CLPE31003;CLPE23001;CLPE81003;CLPE11001;CLPE18002;CLPE34001
CLPE11003;NARBONNE;11;AUDE;76;OCCITANIE;0.2052371003;0.134064836;0.2182059648;0.144493773;-0.012968865;-0.010428937;CLPE34001;CLPE30001;CLPE66001;CLPE31003;CLPE11001;CLPE66002;CLPE84004;CLPE30002;CLPE03003;CLPE24003
CLPE12001;MILLAU;12;AVEYRON;76;OCCITANIE;0.2632704597;0.1736239951;0.2284159762;0.1495840905;0.0348544835;0.0240399045;CLPE46003;CLPE23001;CLPE24002;CLPE43002;CLPE29002;CLPE36003;CLPE58001;CLPE31003;CLPE21004;CLPE04001
CLPE12002;RODEZ;12;AVEYRON;76;OCCITANIE;0.2708385368;0.1855203106;0.2688239625;0.1806184639;0.0020145743;0.0049018467;CLPE39002;CLPE73002;CLPE71005;CLPE50003;CLPE35003;CLPE56001;CLPE40001;CLPE64002;CLPE29003;CLPE22001
CLPE12003;VILLEFRANCHE DE ROUERGUE;12;AVEYRON;76;OCCITANIE;0.2453848897;0.1641638687;0.2429365641;0.1599013216;0.0024483257;0.0042625471;CLPE19002;CLPE32002;CLPE46002;CLPE87003;CLPE86002;CLPE71003;CLPE07003;CLPE19003;CLPE43001;CLPE64001
CLPE13001;AIX-EN-PROVENCE;13;BOUCHES-DU-RHÔNE;93;PROVENCE-ALPES-CÔTE D'AZUR;0.239105476;0.1638124018;0.2380345638;0.157488182;0.0010709122;0.0063242199;CLPE34003;CLPE38002;CLPE06001;CLPE33003;CLPE69M06;CLPE06002;CLPE21003;CLPE63001;CLPE69M02;CLPE31004
CLPE13002;ARLES;13;BOUCHES-DU-RHÔNE;93;PROVENCE-ALPES-CÔTE D'AZUR;0.2534488265;0.1732359517;0.2545313178;0.1694814248;-0.001082491;0.0037545268;CLPE84001;CLPE84003;CLPE84004;CLPE26002;CLPE22003;CLPE24001;CLPE17006;CLPE50003;CLPE04001;CLPE30002
CLPE13003;ISTRES;13;BOUCHES-DU-RHÔNE;93;PROVENCE-ALPES-CÔTE D'AZUR;0.2161026011;0.1463316595;0.2189738151;0.1463976032;-0.002871214;-0.000065944;CLPE60003;CLPE76004;CLPE76002;CLPE28002;CLPE60001;CLPE42001;CLPE27002;CLPE60004;CLPE16001;CLPE30001
CLPE13004;MARSEILLE;13;BOUCHES-DU-RHÔNE;93;PROVENCE-ALPES-CÔTE D'AZUR;0.2268704369;0.1537119202;0.2167935538;0.1446145243;0.010076883;0.009097396;CLPE67005;CLPE59004;CLPE77005;CLPE84002;CLPE77001;CLPE95001;CLPE34003;CLPE60004;CLPE69M05;CLPE69M02
CLPE14001;BAYEUX;14;CALVADOS;28;NORMANDIE;0.2609839387;0.1809878601;0.2651858418;0.1787637903;-0.004201903;0.0022240697;CLPE22001;CLPE50003;CLPE69D02;CLPE14003;CLPE83001;CLPE67004;CLPE56001;CLPE35003;CLPE22003;CLPE22002
CLPE14002;CAEN;14;CALVADOS;28;NORMANDIE;0.2410185637;0.1621172344;0.2349725215;0.1548684329;0.0060460422;0.0072488016;CLPE37004;CLPE72001;CLPE49001;CLPE25001;CLPE63001;CLPE21003;CLPE76004;CLPE26001;CLPE16001;CLPE28002
CLPE14003;LISIEUX;14;CALVADOS;28;NORMANDIE;0.245614146;0.1683130747;0.2715996903;0.1837926006;-0.025985544;-0.015479526;CLPE22001;CLPE50003;CLPE14001;CLPE56001;CLPE71005;CLPE35003;CLPE22002;CLPE44003;CLPE50001;CLPE22003
CLPE14004;VIRE;14;CALVADOS;28;NORMANDIE;0.2512618834;0.1645093364;0.2454224319;0.1641930968;0.0058394515;0.0003162396;CLPE27001;CLPE61001;CLPE28001;CLPE71002;CLPE42003;CLPE76001;CLPE41002;CLPE56002;CLPE72002;CLPE76003
CLPE15001;AURILLAC;15;CANTAL;84;AUVERGNE-RHÔNE-ALPES;0.2524373206;0.1666896965;0.252850065;0.1684940678;-0.000412744;-0.001804371;CLPE19001;CLPE32002;CLPE40001;CLPE19002;CLPE50001;CLPE52002;CLPE39002;CLPE64002;CLPE79002;CLPE22003
CLPE15002;MAURIAC;15;CANTAL;84;AUVERGNE-RHÔNE-ALPES;0.2662418865;0.1871613172;0.2468731339;0.1638038802;0.0193687526;0.023357437;CLPE15003;CLPE24004;CLPE24002;CLPE64001;CLPE32001;CLPE15001;CLPE32002;CLPE86002;CLPE46003;CLPE43001
CLPE15003;SAINT-FLOUR;15;CANTAL;84;AUVERGNE-RHÔNE-ALPES;0.2718427323;0.1831612391;0.2527359803;0.1694169202;0.019106752;0.0137443189;CLPE48001;CLPE15002;CLPE24004;CLPE32002;CLPE32001;CLPE15001;CLPE12003;CLPE16004;CLPE43001;CLPE64001
CLPE16001;ANGOULÊME;16;CHARENTE;75;NOUVELLE-AQUITAINE;0.2212467445;0.1443753676;0.2333207234;0.155146374;-0.012073979;-0.010771006;CLPE18001;CLPE72001;CLPE71002;CLPE26001;CLPE60003;CLPE25001;CLPE28002;CLPE24003;CLPE82002;CLPE76002
CLPE16002;COGNAC;16;CHARENTE;75;NOUVELLE-AQUITAINE;0.2700451384;0.1749383981;0.2711140795;0.1795147928;-0.001068941;-0.004576395;CLPE49003;CLPE37002;CLPE26003;CLPE47002;CLPE79001;CLPE29004;CLPE21001;CLPE72003;CLPE79003;CLPE47001
CLPE16003;NORD CHARENTE;16;CHARENTE;75;NOUVELLE-AQUITAINE;0.2066184852;0.1351708583;0.2246276806;0.1468668716;-0.018009195;-0.011696013;CLPE37003;CLPE71003;CLPE61002;CLPE86002;CLPE24001;CLPE63002;CLPE17005;CLPE36003;CLPE23001;CLPE21004
CLPE16004;SUD CHARENTE;16;CHARENTE;75;NOUVELLE-AQUITAINE;0.2320930658;0.1507062211;0.2538391678;0.1660516618;-0.021746102;-0.015345441;CLPE47002;CLPE17001;CLPE86002;CLPE79003;CLPE32001;CLPE33007;CLPE22003;CLPE16002;CLPE49003;CLPE43001
CLPE17001;JONZAC;17;CHARENTE-MARITIME;75;NOUVELLE-AQUITAINE;0.265955998;0.1733338286;0.2519010404;0.1626205968;0.0140549575;0.0107132318;CLPE33007;CLPE47002;CLPE16004;CLPE37002;CLPE86002;CLPE79003;CLPE22003;CLPE10001;CLPE51004;CLPE49003
